Date,Title,Url,Language,Author,Avatar,Category Details,Checked,City,Display URLs,Expanded URLs,Full Name,Full Text,Gender,Hashtags,Impact,Impressions,Latitude,Location Name,Longitude,Media Filter,Media URLs,Mentioned Authors,Original Url,Thread Author,Thread Created Date,Thread Entry Type,Thread Id,Thread URL,Twitter Author ID,Twitter Channel Role,Twitter Followers,Twitter Following,Twitter Reply Count,Twitter Reply to,Twitter Retweet of,Twitter Retweets,Twitter Tweets,Twitter Verified,Updated,Reach (new)
58:48.0,@TeamUSA Literally all of the 2012 Olympics for women's artistic gymnastics,http://twitter.com/arv5518/statuses/1245138508358070275,en,arv5518,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/814915495237447680?token=7573effe718965617e55bdcdcaca0d4593ae8fd32bf6c635e2d73a239ce7051a,,FALSE,,,,arv5518 (Alyssa VanAuker),@TeamUSA Literally all of the 2012 Olympics for women's artistic gymnastics,female,,0,3,0,,0,,,@teamusa,http://twitter.com/arv5518/statuses/1245138508358070275,TeamUSA,,reply,1.24506E+18,,8.14915E+17,,3,76,0,http://twitter.com/TeamUSA/statuses/1245063460016308224,,0,345,FALSE,2020-10-05T16:39:32.631+0000,0
57:17.0,@LanderVBALL @reesebatesvb @vbcoch @USAVBeach @usavolleyball @MadiReed42 @nell_copeland Omg I am going to try this! Now I just need to find another ballðŸ¤”,http://twitter.com/alexptck3/statuses/1245138125397032960,en,alexptck3,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/501930870?token=8018a8f5540eaac7d922ab98cc7077459cdfc8ecf5eadc1430cbaa8374d6eac6,,FALSE,,,,alexptck3 (Alex Petock),@LanderVBALL @reesebatesvb @vbcoch @USAVBeach @usavolleyball @MadiReed42 @nell_copeland Omg I am going to try this! Now I just need to find another ballðŸ¤”,male,,14.1,217,0,,0,,,"@landervball, @reesebatesvb, @vbcoch, @usavbeach, @usavolleyball, @madireed42, @nell_copeland",http://twitter.com/alexptck3/statuses/1245138125397032960,LanderVBALL,,reply,1.24511E+18,,501930870,,217,293,1,http://twitter.com/LanderVBALL/statuses/1245110531238879233,,0,1600,FALSE,2020-10-05T16:39:32.613+0000,9
57:00.0,"""To be blunt, it started women's basketball in this country. It gave it the notoriety it deserved."" -@s10bird

We close #WomensHistoryMonth by celebrating the team that started a DYNASTY: The 1996 women of @usabasketball. https://t.co/TI5wWOtjtP",http://twitter.com/NBCOlympics/statuses/1245138053837942784,en,NBCOlympics,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/14955353?token=e3729f6655ecdb80452123894c172105578727f1157451c677d614b554c14042,,FALSE,,,,NBCOlympics (#TokyoOlympics),"""To be blunt, it started women's basketball in this country. It gave it the notoriety it deserved."" -@s10bird We close #WomensHistoryMonth by celebrating the team that started a DYNASTY: The 1996 women of @usabasketball. https://t.co/TI5wWOtjtP",,#womenshistorymonth,80.7,2266955,0,,0,,https://video.twimg.com/amplify_video/1245081458160463873/vid/1280x720/dF3sEH_obgBHh4eJ.mp4?tag=13,"@s10bird, @usabasketball",http://twitter.com/NBCOlympics/statuses/1245138053837942784,,,post,0,,14955353,,922572,2991,2,,,61,32017,TRUE,2020-10-05T16:39:32.615+0000,67412
56:25.0,@DetroitHandball @TeamHandball @USATH @USARugby I still love u,http://twitter.com/CoachJax11/statuses/1245137907909898246,en,CoachJax11,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/548798438?token=0e742072f66d25c5903b72d31a7d2b870e0add5039844d67baa1885a751a50d7,,FALSE,,,,CoachJax11 (DIVINE JACKSON),@DetroitHandball @TeamHandball @USATH @USARugby I still love u,male,,12.8,158,0,,0,,,"@detroithandball, @teamhandball, @usath, @usarugby",http://twitter.com/CoachJax11/statuses/1245137907909898246,DetroitHandball,,reply,1.24514E+18,,548798438,,158,249,1,http://twitter.com/DetroitHandball/statuses/1245135884430819328,,0,792,FALSE,2020-10-05T16:39:32.602+0000,0
55:31.0,I beat my own record! The new one is 52!!! @USAVBeach @usavolleyball @FIVBBeach @FIVBVolleyball @OleMissVB @NEVBProbs @FAUVolleyball @FGCU_VB @CreightonVB @StanfordWVB @KUVolleyball https://t.co/rXutjelgxs,http://twitter.com/reesebatesvb/statuses/1245137682109431811,en,reesebatesvb,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/1243913533458386944?token=dfc3506abd653ece09bd7031ede29e3c69685edb74f0531612eee668403f757c,,FALSE,Kansas City,,,reesebatesvb (Reese Bates Volleyball 2023),I beat my own record! The new one is 52!!! @USAVBeach @usavolleyball @FIVBBeach @FIVBVolleyball @OleMissVB @NEVBProbs @FAUVolleyball @FGCU_VB @CreightonVB @StanfordWVB @KUVolleyball https://t.co/rXutjelgxs,unknown,,6.5,1771,0,"Kansas City, MO, USA",0,,https://video.twimg.com/ext_tw_video/1245137618758782976/pu/vid/720x900/SYxRplGr2Pvsd_MO.mp4?tag=10,"@usavbeach, @usavolleyball, @fivbbeach, @fivbvolleyball, @olemissvb, @nevbprobs, @fauvolleyball, @fgcu_vb, @creightonvb, @stanfordwvb, @kuvolleyball",http://twitter.com/reesebatesvb/statuses/1245137682109431811,,,post,0,,1.24391E+18,,30,79,0,,,1,24,FALSE,2020-10-05T16:39:32.631+0000,0
55:30.0,@DetroitHandball @TeamHandball @USATH @USARugby Lol all of that on the list that whatâ€™s what u pick lol I love the it. When your in the best club the US. U donâ€™t have to focus on just scoring. But win some elite tournaments before net picking my resume. FYI itâ€™s not up to date,http://twitter.com/CoachJax11/statuses/1245137676157751297,en,CoachJax11,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/548798438?token=0e742072f66d25c5903b72d31a7d2b870e0add5039844d67baa1885a751a50d7,,FALSE,,,,CoachJax11 (DIVINE JACKSON),@DetroitHandball @TeamHandball @USATH @USARugby Lol all of that on the list that whatâ€™s what u pick lol I love the it. When your in the best club the US. U donâ€™t have to focus on just scoring. But win some elite tournaments before net picking my resume. FYI itâ€™s not up to date,male,,12.8,158,0,,0,,,"@detroithandball, @teamhandball, @usath, @usarugby",http://twitter.com/CoachJax11/statuses/1245137676157751297,DetroitHandball,,reply,1.24514E+18,,548798438,,158,249,1,http://twitter.com/DetroitHandball/statuses/1245135884430819328,,0,791,FALSE,2020-10-05T16:39:32.623+0000,0
54:20.0,"@glamourmag @alexmorgan13 @USWNT @samanthabarry Her exposed and very pregnant look is appealing to one person, the husband and father to be.  The rest of us donâ€™t give a sh1t.",http://twitter.com/greg73017/statuses/1245137384829792256,en,greg73017,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/521599873?token=929ff413d6ba554b04021527021e860d950bb66bd366bc9e4bb69b16d6da6e04,,FALSE,,,,greg73017 (ðŸ’ªðŸ»GregðŸ‡ºðŸ‡¸),"@glamourmag @alexmorgan13 @USWNT @samanthabarry Her exposed and very pregnant look is appealing to one person, the husband and father to be. The rest of us donâ€™t give a sh1t.",male,,51.6,2253,0,"MA, USA",0,,,"@glamourmag, @alexmorgan13, @uswnt, @samanthabarry",http://twitter.com/greg73017/statuses/1245137384829792256,glamourmag,,reply,1.24498E+18,,521599873,,2253,2508,6,http://twitter.com/glamourmag/statuses/1244978295961276416,,0,8223,FALSE,2020-10-05T16:39:32.623+0000,9792
54:08.0,@TeamUSA Miracle on ice! https://t.co/ybHm1DVjAJ,http://twitter.com/nursejudyann/statuses/1245137332426153985,en,nursejudyann,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/24385717?token=9868636e48f40c53c328768095155de69c0f13bb79ab94fd7a94cde4f9a0e769,,FALSE,,,,nursejudyann (Nurse Judy),@TeamUSA Miracle on ice! https://t.co/ybHm1DVjAJ,female,,0,213,0,USA,0,,https://video.twimg.com/tweet_video/EUedzSUXkAAnuX1.mp4#gif,@teamusa,http://twitter.com/nursejudyann/statuses/1245137332426153985,TeamUSA,,reply,1.24506E+18,,24385717,,213,910,0,http://twitter.com/TeamUSA/statuses/1245063460016308224,,0,4494,FALSE,2020-10-05T16:39:32.631+0000,0
53:07.0,@InesSainzG @Tokyo2020 â€¦.   AZi NoAnlo AZi NO  â€¦.,http://twitter.com/JosHern46777487/statuses/1245137076300869632,it,JosHern46777487,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/1237852486729228289?token=88664f0eee43f1636241d8b263039ce2f52a33cf5238d1653e1b4bdada486ae0,,FALSE,,,,JosHern46777487 (JosÃ©_HernÃ¡ndez),@InesSainzG @Tokyo2020 â€¦. AZi NoAnlo AZi NO â€¦.,male,,0,9,0,,0,,,"@inessainzg, @tokyo2020",http://twitter.com/JosHern46777487/statuses/1245137076300869632,InesSainzG,,reply,1.24506E+18,,1.23785E+18,,9,56,0,http://twitter.com/InesSainzG/statuses/1245057317739081729,,0,963,FALSE,2020-10-05T16:39:32.604+0000,0
53:06.0,@TeamUSA The four horse chariot race of 680 BC,http://twitter.com/Paul__Roberts/statuses/1245137074811887619,en,Paul__Roberts,https://audiences.brandwatch.com/api/audiences/v1/avatars/twitter/34078442?token=8d3ad59d6c6663519ff7c10146ca3b5803678173905a5548b14dfce1d2247082,,FALSE,Everett,,,Paul__Roberts (Paul Roberts),@TeamUSA The four horse chariot race of 680 BC,male,,0,95,0,"Everett, WA, USA",0,,,@teamusa,http://twitter.com/Paul__Roberts/statuses/1245137074811887619,TeamUSA,,reply,1.24506E+18,,34078442,,95,716,0,http://twitter.com/TeamUSA/statuses/1245063460016308224,,0,1641,FALSE,2020-10-05T16:39:32.627+0000,0
